XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.09750,2.59175,-0.39825,2,15.28,-16.18,31,19,1
-0.07050,2.56275,-0.39975,0,15.20,-16.50,27,15,1
-0.06575,2.56125,-0.39800,4,15.36,-16.26,33,21,1
-0.06700,2.56250,-0.39800,2,15.13,-16.49,33,18,1
-0.06675,2.56250,-0.39750,2,16.71,-16.94,18,1,1
-0.07175,2.56550,-0.39925,1,14.88,-16.83,25,14,1
-0.06950,2.56725,-0.39850,3,15.44,-16.26,26,14,1
-0.07025,2.56600,-0.39800,0,15.19,-16.51,26,14,1
-0.06700,2.56400,-0.39900,4,15.21,-16.48,26,14,1
-0.06750,2.56550,-0.39900,0,14.89,-16.71,34,19,1
-0.06475,2.56450,-0.39900,1,15.19,-16.49,28,15,1
-0.06475,2.56550,-0.39800,2,15.28,-16.32,32,18,1
-0.07950,2.57425,-0.39950,7,14.87,-16.69,31,19,1
-0.07850,2.57425,-0.39975,4,15.41,-16.35,27,15,1
-0.07950,2.57450,-0.39800,2,15.38,-16.17,31,19,1
-0.07500,2.57275,-0.39850,2,16.62,-17.02,15,0,1
-0.07225,2.57225,-0.39925,2,15.29,-16.44,27,15,1
-0.07400,2.57475,-0.39850,4,15.13,-16.43,33,18,1
-0.07550,2.57350,-0.39800,0,15.23,-16.33,32,19,1
-0.06975,2.56900,-0.39925,2,15.39,-16.32,26,14,1
-0.07125,2.56825,-0.39775,0,15.39,-16.32,26,14,1
-0.07200,2.56875,-0.39750,1,15.09,-16.49,32,18,1
-0.06900,2.56800,-0.39800,2,15.05,-16.54,33,18,1
-0.07100,2.57150,-0.39800,2,15.20,-16.37,33,18,1
-0.06500,2.56800,-0.39900,4,15.19,-16.50,28,15,1
-0.06625,2.57025,-0.39850,4,14.98,-16.72,28,15,1
-0.06525,2.57075,-0.39850,0,15.32,-16.26,32,19,1
-0.06675,2.56950,-0.39775,0,15.25,-16.34,32,19,1
-0.07175,2.57525,-0.39900,1,15.19,-16.54,26,14,1
-0.07125,2.57550,-0.39875,0,15.40,-16.15,33,19,1
-0.06975,2.57200,-0.39775,0,16.88,-16.76,18,0,1
-0.06650,2.57350,-0.39875,4,15.35,-16.36,27,15,1
-0.06425,2.57200,-0.39725,4,16.99,-16.65,18,0,1
-0.06425,2.57275,-0.39750,1,15.54,-16.03,34,19,1
-0.08825,2.58100,-0.39850,1,15.43,-16.09,31,19,1
-0.08525,2.57875,-0.39950,1,15.19,-16.61,25,14,1
-0.08250,2.57750,-0.39875,1,15.42,-16.12,31,19,1
-0.08025,2.57625,-0.39925,2,16.59,-17.05,16,1,1
-0.08225,2.57850,-0.39850,0,15.30,-16.48,26,14,1
-0.08125,2.57825,-0.39775,2,15.17,-16.37,32,18,1
-0.08150,2.58150,-0.39825,1,14.71,-16.81,31,19,1
-0.09300,2.58750,-0.39900,2,15.04,-16.45,31,19,1
-0.09100,2.58575,-0.39950,2,15.14,-16.70,26,14,1
-0.09125,2.58625,-0.39875,2,15.27,-16.22,31,19,1
-0.09200,2.58775,-0.39900,2,15.30,-16.55,26,14,1
-0.09125,2.58500,-0.39750,2,14.91,-16.59,31,19,1
-0.09025,2.58675,-0.39800,4,15.18,-16.31,31,19,1
-0.09450,2.58900,-0.39900,2,15.41,-16.07,31,19,1
-0.09425,2.59075,-0.39775,0,16.08,-17.56,16,1,1
-0.09025,2.58850,-0.39950,3,15.31,-16.53,26,14,1
-0.09050,2.59000,-0.39900,1,15.39,-16.09,31,19,1
-0.08925,2.59150,-0.39825,2,15.52,-15.95,31,19,1
-0.08900,2.59100,-0.39900,3,15.51,-16.33,26,14,1
-0.08625,2.58425,-0.39900,4,15.01,-16.81,26,14,1
-0.08575,2.58550,-0.39825,3,15.19,-16.31,31,19,1
-0.08750,2.58550,-0.39750,1,15.37,-16.13,32,20,1
-0.08475,2.58525,-0.39750,3,15.19,-16.31,32,20,1
-0.08350,2.58400,-0.39950,0,16.67,-16.97,16,1,1
-0.08200,2.58625,-0.39875,2,15.18,-16.32,31,19,1
